prabhag_no,anganwadi,school,primary_health_center,nagari_suvidha_kendra,virangula_kendra,gym,garden,night_shelter,,value_for_anganwadi_index,max_value,min_value,anganwadi_index,value_for_school_index,max_value,min_value,school_index,value_for_primary_health_center_index,max_value,min_value,primary_health_center_index,value_for_nagari_suvidha_kendra_index,max_value,min_value,nagari_suvidha_kendra_index,value_for_virangula_kendra_index,max_value,min_value,virangula_kendra_index,value_for_gym_index,max_value,min_value,gym_index,value_for_garden_index,max_value,min_value,garden_index,value_for_night_shelter_index,max_value,min_value,night_shelter_index,public_amenities_index
58,3,1,0,1,1,1,0,0,,3,21,0,0.14,1,13,0,0.08,0,52,0,0.00,1,2,0,0.5,1,4,0,0.25,1,6,0,0.17,0,10,0,0,0,2,0,0,0.21
59,0,3,2,1,0,0,0,0,,0,21,0,0.00,3,13,0,0.23,2,52,0,0.04,1,2,0,0.5,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.20
60,0,3,2,0,0,1,1,0,,0,21,0,0.00,3,13,0,0.23,2,52,0,0.04,0,2,0,0,0,4,0,0,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.11
61,1,3,1,0,0,0,1,0,,1,21,0,0.05,3,13,0,0.23,1,52,0,0.02,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.09
62,1,2,0,1,0,0,5,0,,1,21,0,0.05,2,13,0,0.15,0,52,0,0.00,1,2,0,0.5,0,4,0,0,0,6,0,0.00,5,10,0,0.5,0,2,0,0,0.26
63,0,8,1,1,0,1,0,0,,0,21,0,0.00,8,13,0,0.62,1,52,0,0.02,1,2,0,0.5,0,4,0,0,1,6,0,0.17,0,10,0,0,0,2,0,0,0.29
64,4,6,1,0,0,1,3,0,,4,21,0,0.19,6,13,0,0.46,1,52,0,0.02,0,2,0,0,0,4,0,0,1,6,0,0.17,3,10,0,0.3,0,2,0,0,0.21
65,0,2,0,0,1,0,3,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,0,2,0,0,1,4,0,0.25,0,6,0,0.00,3,10,0,0.3,0,2,0,0,0.15
66,1,2,1,0,1,0,2,0,,1,21,0,0.05,2,13,0,0.15,1,52,0,0.02,0,2,0,0,1,4,0,0.25,0,6,0,0.00,2,10,0,0.2,0,2,0,0,0.13
67,1,2,1,0,0,2,10,0,,1,21,0,0.05,2,13,0,0.15,1,52,0,0.02,0,2,0,0,0,4,0,0,2,6,0,0.33,10,10,0,1,0,2,0,0,0.38
68,5,1,0,0,0,1,2,0,,5,21,0,0.24,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.13
69,3,1,0,0,0,1,0,0,,3,21,0,0.14,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,0,10,0,0,0,2,0,0,0.08
70,1,8,52,2,0,2,0,0,,1,21,0,0.05,8,13,0,0.62,52,52,0,1.00,2,2,0,1,0,4,0,0,2,6,0,0.33,0,10,0,0,0,2,0,0,0.56
71,3,0,0,1,1,1,0,0,,3,21,0,0.14,0,13,0,0.00,0,52,0,0.00,1,2,0,0.5,1,4,0,0.25,1,6,0,0.17,0,10,0,0,0,2,0,0,0.21
72,3,4,1,0,0,1,2,0,,3,21,0,0.14,4,13,0,0.31,1,52,0,0.02,0,2,0,0,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.15
73,0,0,0,0,0,0,0,0,,0,21,0,0.00,0,13,0,0.00,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.00
74,0,0,1,0,1,0,0,0,,0,21,0,0.00,0,13,0,0.00,1,52,0,0.02,0,2,0,0,1,4,0,0.25,0,6,0,0.00,0,10,0,0,0,2,0,0,0.09
75,0,2,0,1,0,0,0,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,1,2,0,0.5,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.18
76,4,3,1,0,0,2,1,0,,4,21,0,0.19,3,13,0,0.23,1,52,0,0.02,0,2,0,0,0,4,0,0,2,6,0,0.33,1,10,0,0.1,0,2,0,0,0.16
